title,year,mileage,transmission,fuel,body_color,inside_color,body_status,description,body_type,volume,engine,acceleration,price
160,1396,131000.0,1,6.4,19,28,14,5221,2,1.6,4.0,11,450000000
62,1395,185000.0,1,7.7,19,28,1,10039,3,1.7,4.0,13,510000000
152,1390,152000.0,1,6.7,34,7,1,11672,3,1.3,4.0,13,235000000
116,1390,195000.0,0,7.6,33,28,1,7792,3,2.0,4.0,9,1350000000
180,1402,27000.0,1,7.1,19,28,1,6154,2,1.5,4.0,13,390000000
107,2017,140000.0,0,7.9,29,28,1,3077,1,2.0,4.0,7,8700000000
164,1391,154000.0,1,7.5,33,35,6,10346,3,1.6,4.0,13,352000000
160,1400,77000.0,1,6.4,19,28,1,2566,2,1.4,4.0,14,505000000
49,2008,270000.0,0,8.2,29,35,1,580,3,2.4,4.0,10,1630000000
95,1401,33000.0,0,7.4,19,28,1,10822,1,1.5,4.0,11,1400000000
84,2017,70000.0,0,7.2,19,28,1,265,1,1.6,4.0,12,1750000000
105,1402,13000.0,0,8.1,29,28,1,5395,1,1.5,4.0,11,1820000000
161,1390,300000.0,1,6.6,9,7,4,108,3,1.6,4.0,11,290000000
162,1401,37000.0,1,6.6,19,28,1,7986,2,1.6,4.0,11,720000000
119,2017,100000.0,0,9.3,20,28,1,2445,1,2.4,4.0,10,3650000000
165,1387,225000.0,1,7.5,19,28,9,5421,3,1.6,4.0,13,330000000
162,1397,85000.0,0,7.1,19,28,1,4326,2,1.6,4.0,12,685000000
55,1399,110000.0,0,7.7,29,28,1,3869,1,2.0,4.0,11,1320000000
160,1391,147000.0,0,7.1,29,28,1,405,2,1.6,4.0,13,430000000
153,1390,176000.0,1,6.7,19,28,11,1981,3,1.3,4.0,13,168000000
108,2017,136000.0,0,5.1,29,24,1,10672,1,2.5,4.0,9,8570000000
165,1394,78000.0,1,7.5,19,35,6,11059,3,1.6,4.0,13,410000000
61,1397,130000.0,0,7.7,29,28,1,4165,2,1.6,4.0,12,660000000
84,2016,130000.0,0,7.2,18,28,1,4224,1,1.6,4.0,12,1500000000
55,1395,104000.0,0,7.7,33,28,14,4684,1,2.0,4.0,11,960000000
160,1396,114000.0,1,6.4,19,32,14,6740,2,1.4,4.0,14,430000000
87,1399,98000.0,1,8.3,29,35,1,6355,3,1.8,4.0,13,460000000
63,1403,9000.0,0,7.8,19,28,14,11459,3,1.7,4.0,10,850000000
15,1397,110000.0,1,5.9,0,7,12,3747,1,1.5,4.0,12,620000000
162,1390,170000.0,1,6.4,19,28,1,11648,2,1.6,4.0,9,470000000
65,1403,8000.0,0,7.3,29,28,1,9962,1,1.5,4.0,13,1750000000
45,2010,170000.0,0,13.0,29,26,13,7544,5,4.0,6.0,9,9000000000
165,1400,16800.0,1,9.1,29,35,1,9635,3,1.8,4.0,11,580000000
71,2018,65000.0,0,6.2,29,28,7,3477,3,1.6,4.0,7,2750000000
160,1401,38000.0,1,6.4,19,28,1,8489,2,1.4,4.0,14,528000000
160,1398,35000.0,1,6.4,19,28,1,2173,2,1.4,4.0,14,525000000
11,1393,295000.0,1,6.3,19,35,14,10251,3,1.5,4.0,11,310000000
136,2012,135000.0,0,9.6,19,28,14,11700,3,3.0,6.0,8,2720000000
39,2017,80000.0,0,3.9,19,28,1,7895,1,1.8,4.0,11,4630000000
152,1394,210000.0,1,6.4,19,7,1,9188,3,1.3,4.0,13,222000000
11,1393,22000.0,1,6.3,34,35,1,4329,3,1.5,4.0,11,450000000
162,1397,74000.0,1,6.6,19,28,1,2645,2,1.6,4.0,11,565000000
72,1397,140000.0,0,8.3,19,28,1,9128,3,1.6,4.0,11,900000000
151,1394,107000.0,1,6.4,19,7,1,2256,2,1.3,4.0,13,280000000
126,1383,286000.0,0,10.7,18,35,4,11518,3,3.0,6.0,9,1050000000
136,2018,17000.0,0,8.3,29,28,1,8995,3,2.4,4.0,9,6200000000
16,1394,90000.0,0,6.9,0,28,1,5185,1,2.0,4.0,12,680000000
55,1395,173000.0,0,7.7,29,28,14,1446,1,2.0,4.0,11,970000000
132,1402,5500.0,0,8.6,12,28,1,407,1,1.8,4.0,10,1480000000
116,1397,90000.0,0,7.6,19,28,1,1318,3,2.0,4.0,9,2120000000
186,1395,112000.0,0,7.9,19,28,14,8570,3,2.0,4.0,10,1365000000
158,2013,45000.0,0,10.0,19,19,1,7670,5,3.6,6.0,7,9850000000
160,1401,33000.0,1,6.4,19,7,1,8632,2,1.4,4.0,14,560000000
165,1395,170000.0,1,7.5,19,35,13,6249,3,1.6,4.0,13,525000000
57,1393,156000.0,1,6.6,29,35,13,9425,3,1.5,4.0,10,520000000
161,1397,67200.0,1,6.6,19,28,1,103,3,1.6,4.0,11,520000000
116,1398,38000.0,0,7.6,19,28,1,10012,3,2.0,4.0,9,2330000000
102,1401,38000.0,0,6.9,29,28,1,4222,3,1.5,4.0,10,1350000000
162,1400,37000.0,1,6.6,19,28,1,6759,2,1.6,4.0,11,670000000
164,1397,120000.0,1,9.0,9,35,1,3614,3,1.8,4.0,11,415000000
164,1397,350000.0,1,7.5,19,35,5,1736,3,1.6,4.0,13,435000000
161,1398,57000.0,1,6.6,19,28,1,10874,3,1.6,4.0,11,560000000
161,1397,140000.0,1,6.6,33,28,4,7492,3,1.6,4.0,11,525000000
186,1398,48000.0,0,7.9,19,28,1,11187,3,2.0,4.0,10,1850000000
63,1401,40000.0,1,7.8,29,28,1,11301,3,1.7,4.0,10,815000000
87,1394,179000.0,1,8.3,19,35,1,9289,3,1.8,4.0,13,350000000
160,1385,500000.0,1,6.4,9,7,8,2460,2,1.4,4.0,14,195000000
102,1402,2500.0,0,6.9,19,28,1,11132,3,1.5,4.0,10,1505000000
165,1382,272000.0,1,9.1,29,33,9,6343,3,1.8,4.0,11,230000000
72,1392,171000.0,0,8.3,19,21,2,456,3,1.6,4.0,11,520000000
162,1398,50000.0,1,6.6,19,28,1,11661,2,1.6,4.0,11,600000000
170,1401,6000.0,0,6.9,34,28,1,1086,3,1.5,4.0,10,1135000000
162,1402,14000.0,0,7.4,34,7,1,3453,2,1.6,4.0,12,815000000
87,1398,125000.0,1,8.3,19,35,13,10357,3,1.8,4.0,13,420000000
125,1386,124000.0,1,13.0,34,7,1,4046,5,2.4,4.0,15,1850000000
185,2015,66000.0,0,7.4,19,28,1,9078,3,2.0,4.0,10,2350000000
179,1400,45000.0,1,7.0,19,28,1,10860,2,1.5,4.0,13,350000000
87,1396,90000.0,1,7.5,11,4,2,8453,3,1.7,4.0,12,410000000
105,1402,3400.0,0,8.1,29,28,1,5831,1,1.5,4.0,11,1830000000
167,1383,15639.0,1,9.0,19,17,5,9493,4,1.7,4.0,12,135000000
161,1389,141000.0,1,6.6,19,7,1,10221,3,1.6,4.0,11,380000000
162,1400,80000.0,1,6.6,19,28,1,7520,2,1.6,4.0,11,590000000
161,1396,93000.0,1,6.6,29,28,1,11641,3,1.6,4.0,11,455000000
110,1393,190000.0,1,6.8,34,35,1,11492,3,1.8,4.0,10,395000000
105,1402,18000.0,0,8.1,29,28,1,10007,1,1.5,4.0,11,1720000000
161,1396,147000.0,1,6.6,19,28,4,4394,3,1.6,4.0,11,457000000
160,1393,170000.0,1,6.4,19,28,4,8467,2,1.6,4.0,11,360000000
177,1400,15500.0,0,7.0,19,28,1,1613,2,1.5,4.0,13,460000000
128,1372,300000.0,1,17.0,18,16,5,2946,5,4.0,6.0,17,580000000
160,1395,137000.0,1,6.4,19,7,9,5719,2,1.6,4.0,11,405000000
63,1402,23000.0,0,7.8,29,28,1,4838,3,1.7,4.0,10,850000000
162,1400,31000.0,1,6.6,19,7,1,6755,2,1.6,4.0,11,610000000
22,2018,60000.0,0,5.9,19,28,1,2621,3,2.0,4.0,6,12500000000
87,1394,196000.0,1,7.5,19,25,14,9161,3,1.7,4.0,12,380000000
160,1382,500000.0,1,6.4,33,28,8,9695,2,1.4,4.0,14,185000000
21,2006,200000.0,0,7.4,20,25,14,3717,3,3.0,6.0,7,1400000000
152,1391,270000.0,1,6.7,34,7,12,8403,3,1.3,4.0,13,208000000
89,1400,35000.0,1,7.3,19,28,1,547,3,1.7,4.0,12,600000000
162,1400,47000.0,1,6.6,19,28,1,9169,2,1.6,4.0,11,620000000
89,1399,90000.0,1,7.5,19,28,1,9094,3,1.7,4.0,12,535000000
58,1397,92500.0,0,6.0,33,33,5,5313,3,1.5,4.0,13,560000000
9,1393,119000.0,1,3.7,29,17,1,10572,2,1.1,4.0,13,225000000
161,1386,196000.0,1,7.4,34,28,5,354,3,1.6,4.0,12,285000000
9,1393,64000.0,1,3.7,26,35,1,9086,2,1.1,4.0,13,210000000
56,1401,43000.0,0,6.2,19,28,1,1654,3,1.5,4.0,11,710000000
165,1400,58000.0,1,7.5,19,32,1,8906,3,1.6,4.0,13,540000000
53,1399,64000.0,1,6.9,19,7,1,3585,2,1.5,4.0,13,325000000
134,1396,86000.0,0,6.7,19,28,1,8862,2,1.4,4.0,13,1420000000
162,1402,5000.0,1,6.6,19,28,1,6762,2,1.6,4.0,11,720000000
135,2012,94000.0,0,7.5,33,28,12,11529,2,2.0,4.0,11,1450000000
74,1397,88000.0,0,8.3,25,32,6,4635,2,1.6,4.0,11,900000000
116,1396,26500.0,0,7.6,17,28,1,4951,3,2.0,4.0,9,2280000000
184,1385,300000.0,1,7.0,19,35,7,1252,3,1.5,4.0,11,225000000
178,1401,24000.0,1,7.0,19,28,6,3030,2,1.5,4.0,13,365000000
10,1395,115000.0,1,4.2,19,28,1,8165,2,1.0,3.0,18,282000000
25,1395,230000.0,1,6.4,34,28,14,5300,3,1.5,4.0,11,440000000
165,1402,8000.0,1,7.0,19,35,1,676,3,1.8,4.0,12,670000000
165,1394,144000.0,1,8.6,19,35,1,1370,3,1.9,4.0,10,510000000
165,1392,163000.0,1,9.1,19,35,1,5509,3,1.8,4.0,11,365000000
55,1396,65000.0,0,7.7,19,28,1,934,1,2.0,4.0,11,1110000000
39,2018,57000.0,0,3.9,19,28,1,11745,1,1.8,4.0,11,4550000000
27,1397,93000.0,0,6.7,19,28,1,3125,3,1.5,4.0,14,850000000
160,1396,150000.0,1,6.4,19,28,12,9866,2,1.4,4.0,14,390000000
162,1401,5700.0,1,6.6,25,28,1,6299,2,1.6,4.0,11,665000000
63,1400,37600.0,1,7.9,34,28,1,5630,3,1.7,4.0,13,700000000
116,1397,85000.0,0,7.6,19,28,1,309,3,2.0,4.0,9,2050000000
61,1397,90000.0,0,7.7,29,28,1,9378,2,1.6,4.0,12,600000000
15,1400,27000.0,0,6.1,19,28,1,5864,1,1.5,4.0,12,840000000
93,1400,52000.0,1,7.2,29,28,1,8225,3,1.5,4.0,13,610000000
68,1396,250000.0,1,6.9,19,28,2,3469,3,1.6,4.0,12,405000000
86,1400,72000.0,1,6.9,19,7,6,63,3,1.5,4.0,12,345000000
103,1402,8500.0,0,7.0,29,28,1,7489,1,1.6,4.0,8,2250000000
164,1399,65000.0,1,7.5,19,4,1,9020,3,1.6,4.0,13,575000000
131,1401,22000.0,0,8.0,19,28,1,3980,1,1.5,4.0,9,1330000000
144,2015,100000.0,0,9.4,29,26,1,6703,1,2.4,4.0,11,3050000000
25,1396,200000.0,0,6.8,19,28,1,5578,3,1.5,4.0,14,550000000
63,1402,19000.0,0,7.8,29,28,1,2316,3,1.7,4.0,10,830000000
63,1400,43600.0,1,7.9,34,28,1,11103,3,1.7,4.0,13,660000000
116,1389,320000.0,0,7.6,4,28,7,4091,3,2.0,4.0,9,1100000000
178,1402,11700.0,1,7.0,33,28,1,9947,2,1.5,4.0,13,395000000
116,1395,70000.0,0,7.6,17,28,1,4197,3,2.0,4.0,9,1800000000
182,2014,110000.0,0,8.1,19,28,1,542,3,2.4,4.0,10,2790000000
161,1387,51000.0,1,6.4,19,32,14,3544,3,1.4,4.0,14,340000000
186,1395,93000.0,0,7.9,19,35,1,1251,3,2.0,4.0,10,1420000000
97,2018,120000.0,0,7.7,19,28,1,296,1,2.0,4.0,7,4800000000
144,2017,80000.0,0,8.5,19,28,1,1026,1,2.4,4.0,11,4000000000
165,1400,40000.0,1,9.1,19,35,1,4459,3,1.8,4.0,11,540000000
182,2014,173000.0,0,8.1,19,35,1,3201,3,2.4,4.0,10,2550000000
68,1395,175000.0,1,6.9,19,28,12,3088,3,1.6,4.0,12,395000000
152,1395,350000.0,1,6.4,33,7,7,11590,3,1.3,4.0,13,228000000
182,2015,130000.0,0,8.1,29,28,14,2534,3,2.4,4.0,10,2850000000
191,2014,16800.0,0,9.4,19,28,1,3350,3,3.5,6.0,7,7200000000
49,2007,99000.0,1,8.2,33,21,5,10272,3,2.4,4.0,10,1150000000
39,2018,80000.0,0,3.9,19,28,1,2856,1,1.8,4.0,11,4250000000
152,1398,87000.0,1,6.4,0,7,1,1462,3,1.3,4.0,13,273000000
160,1390,242000.0,1,6.4,19,7,2,10936,2,1.6,4.0,11,328000000
162,1397,107000.0,1,6.6,19,28,11,7055,2,1.6,4.0,11,560000000
173,1395,160000.0,0,9.0,19,28,14,9243,1,2.0,4.0,12,850000000
165,1401,31000.0,1,7.5,19,25,1,5452,3,1.6,4.0,13,705000000
108,2016,80000.0,0,5.2,19,28,1,643,1,2.5,4.0,9,5900000000
162,1402,9000.0,1,6.6,29,28,1,6764,2,1.6,4.0,11,755000000
132,1397,90000.0,0,9.7,19,28,1,4591,1,1.8,4.0,10,1250000000
42,2016,88000.0,0,8.1,20,28,1,7802,1,2.5,4.0,9,4950000000
54,1398,48000.0,0,7.6,29,28,1,2057,1,1.6,4.0,10,880000000
116,1396,85000.0,0,7.6,19,28,1,8254,3,2.0,4.0,9,1975000000
87,1399,90000.0,1,7.5,19,25,1,8109,3,1.7,4.0,12,580000000
165,1393,198000.0,1,9.1,19,35,12,7090,3,1.8,4.0,11,380000000
164,1399,46500.0,1,7.5,9,35,1,10181,3,1.6,4.0,13,545000000
23,2017,40000.0,0,6.2,34,26,1,10010,3,2.0,4.0,6,13400000000
162,1401,31000.0,1,6.6,0,28,1,5305,2,1.6,4.0,11,685000000
141,2014,40000.0,0,9.6,19,30,1,10388,1,2.4,4.0,10,2750000000
160,1399,108000.0,1,6.4,19,28,1,809,2,1.6,4.0,11,548000000
142,2010,207000.0,0,10.0,29,35,14,8120,3,3.8,6.0,6,2350000000
165,1398,145000.0,1,9.1,34,35,6,9203,3,1.8,4.0,11,680000000
165,1384,310000.0,1,9.1,29,28,5,8761,3,1.8,4.0,11,235000000
27,1397,97000.0,1,6.4,9,28,1,2129,3,1.5,4.0,12,668000000
179,1402,10000.0,1,7.0,19,28,1,1073,2,1.5,4.0,13,398000000
138,2018,50000.0,0,7.5,19,28,1,8553,3,2.0,4.0,9,2680000000
181,2017,48000.0,0,8.5,19,28,1,7782,1,2.4,4.0,9,4540000000
32,2012,190000.0,0,7.0,19,25,4,8848,3,3.5,6.0,6,6950000000
168,1397,23000.0,0,7.2,19,28,1,11028,1,1.6,4.0,15,970000000
28,1397,160000.0,0,6.5,19,28,14,3028,1,1.65,4.0,12,730000000
63,1401,13000.0,1,7.9,19,21,1,2104,3,1.7,4.0,13,740000000
165,1393,200000.0,1,9.1,19,35,14,2143,3,1.8,4.0,11,380000000
182,2016,99000.0,0,8.1,19,28,2,1036,3,2.4,4.0,9,3650000000
87,1400,94000.0,1,7.5,19,35,1,3363,3,1.7,4.0,12,517000000
57,1395,180000.0,0,7.6,19,28,14,4293,3,1.8,4.0,10,650000000
152,1394,147000.0,1,6.4,19,7,1,5006,3,1.3,4.0,13,220000000
165,1400,74000.0,1,7.5,19,35,1,10504,3,1.6,4.0,13,700000000
178,1401,70000.0,1,7.0,19,28,1,10245,2,1.5,4.0,13,360000000
160,1396,122000.0,1,6.4,19,7,7,7552,2,1.4,4.0,14,400000000
92,1387,158000.0,1,7.0,33,28,1,9032,3,2.0,4.0,9,580000000
36,1402,29500.0,1,7.1,29,28,1,9640,3,1.6,4.0,12,690000000
91,1397,38000.0,0,6.7,19,7,1,4331,2,1.6,4.0,8,2000000000
18,2013,180000.0,0,6.6,7,24,1,10106,1,2.0,4.0,6,3300000000
116,1398,30000.0,0,7.6,17,28,14,7527,3,2.0,4.0,9,2150000000
139,2014,222000.0,0,6.4,29,7,7,3484,3,1.6,4.0,11,1300000000
136,2018,77000.0,0,8.3,19,28,1,9480,3,2.4,4.0,9,5400000000
52,1393,72000.0,1,6.9,11,7,1,8895,3,1.5,4.0,13,265000000
165,1396,180000.0,1,9.1,19,25,11,10316,3,1.8,4.0,11,450000000
89,1403,4000.0,1,7.0,19,28,1,11690,3,1.8,4.0,13,2010000000
77,1396,290000.0,1,6.8,19,33,5,4859,3,1.6,4.0,10,490000000
24,1395,175000.0,1,6.4,33,32,14,4236,2,1.5,4.0,12,420000000
162,1403,1600.0,0,7.4,19,28,1,9329,2,1.6,4.0,12,842000000
188,2017,75000.0,0,8.8,19,26,1,3333,1,2.4,4.0,11,5300000000
162,1400,30000.0,1,6.6,19,28,1,4798,2,1.6,4.0,11,655000000
63,1402,17000.0,1,7.9,19,28,1,11263,3,1.7,4.0,13,734000000
164,1383,344400.0,1,9.0,34,28,8,3371,3,1.8,4.0,11,120000000
29,1397,150000.0,0,6.7,29,28,1,11621,3,1.6,4.0,12,780000000
145,2009,252000.0,0,8.7,9,28,1,7956,3,2.4,4.0,9,1290000000
168,1398,44905.0,0,7.2,19,28,1,4646,1,1.6,4.0,15,900000000
126,1390,200000.0,0,10.7,24,7,8,7396,3,3.0,6.0,9,1170000000
63,1402,21000.0,1,7.9,29,28,14,3223,3,1.7,4.0,13,698000000
132,1402,4000.0,0,8.6,19,28,1,566,1,1.8,4.0,10,1490000000
104,1402,8000.0,0,7.9,29,26,1,6210,5,2.0,4.0,8,2740000000
63,1402,20000.0,0,7.8,19,28,1,7898,3,1.7,4.0,10,870000000
71,2018,65000.0,0,6.2,9,7,1,8069,3,1.6,4.0,7,3350000000
19,2016,72000.0,0,7.3,29,29,1,9486,1,2.0,4.0,6,7900000000
173,1396,71000.0,0,9.0,19,28,1,5616,1,2.0,4.0,12,1050000000
69,1401,37400.0,1,6.9,19,28,14,6274,3,1.6,4.0,12,505000000
182,2013,109000.0,0,8.1,19,28,1,3337,3,2.4,4.0,10,2580000000
23,2017,30000.0,0,6.2,19,29,1,1042,3,2.0,4.0,6,15300000000
34,1402,17000.0,0,7.3,19,28,1,9501,3,1.6,4.0,13,850000000
182,2017,74000.0,0,8.1,26,29,1,10823,3,2.4,4.0,9,3200000000
82,1401,77000.0,1,13.8,0,28,2,144,4,2.4,4.0,21,570000000
165,1399,85000.0,1,9.1,19,28,11,4742,3,1.8,4.0,11,480000000
132,1398,90000.0,0,9.7,19,25,1,2904,1,1.8,4.0,10,1350000000
173,1399,85000.0,0,9.0,19,30,1,8890,1,2.0,4.0,12,1130000000
56,1400,53000.0,0,6.2,29,28,1,4494,3,1.5,4.0,11,715000000
111,1395,112000.0,0,8.7,19,28,1,3687,3,2.4,4.0,10,1000000000
161,1396,180000.0,1,6.6,19,28,1,10328,3,1.6,4.0,11,440000000
161,1386,244000.0,1,7.4,19,28,7,5759,3,1.6,4.0,12,295000000
93,1401,9400.0,1,7.2,19,28,1,10666,3,1.5,4.0,13,635000000
188,2016,80000.0,0,8.8,29,28,1,1614,1,2.4,4.0,11,4290000000
165,1400,78000.0,1,7.5,19,35,1,673,3,1.6,4.0,13,640000000
93,1401,43000.0,1,7.2,19,7,1,5408,3,1.5,4.0,13,600000000
189,2013,130000.0,0,12.8,29,28,1,8524,5,4.6,8.0,7,4100000000
168,1397,28000.0,0,7.2,19,28,6,5014,1,1.6,4.0,15,850000000
176,1401,22000.0,1,8.1,19,7,1,1151,4,2.0,4.0,14,750000000
55,1398,69000.0,0,7.7,29,28,1,9165,1,2.0,4.0,11,1255000000
161,1399,38000.0,1,6.6,34,28,1,6383,3,1.6,4.0,11,590000000
174,1397,92000.0,0,6.7,29,30,1,8148,1,1.5,4.0,10,1700000000
76,1389,120000.0,0,7.8,19,35,14,9801,3,2.0,4.0,9,780000000
186,1395,120000.0,1,6.5,19,28,1,2733,3,1.6,4.0,10,1100000000
113,1394,240000.0,1,8.2,29,7,1,3860,1,1.8,4.0,13,530000000
20,2017,60000.0,0,7.4,29,29,1,11633,1,2.0,4.0,6,10600000000
124,2016,55000.0,0,6.0,19,28,1,8939,1,1.6,4.0,11,1970000000
157,2013,11900.0,0,11.5,19,35,1,9985,3,4.8,8.0,4,16900000000
87,1391,31000.0,1,7.5,19,17,4,2676,3,1.7,4.0,12,310000000
162,1399,65000.0,1,6.6,29,28,1,3750,2,1.6,4.0,11,570000000
160,1399,102000.0,1,6.4,1,28,1,5211,2,1.6,4.0,11,535000000
186,1394,121000.0,0,7.9,29,21,14,6354,3,2.0,4.0,10,1250000000
38,2017,110000.0,0,6.3,29,28,1,18,1,1.2,4.0,11,3880000000
182,2012,180000.0,0,8.1,29,28,1,10644,3,2.4,4.0,10,2390000000
29,1397,119000.0,0,6.7,19,28,1,5615,3,1.6,4.0,12,810000000
61,1396,117000.0,0,7.7,19,28,1,5727,2,1.6,4.0,12,615000000
90,1396,88000.0,0,9.7,19,28,1,6649,1,2.4,4.0,12,2280000000
15,1396,90000.0,0,6.1,29,26,14,3893,1,1.5,4.0,12,690000000
168,1397,120000.0,0,7.2,19,28,7,6358,1,1.6,4.0,15,790000000
103,1402,4000.0,0,7.0,19,28,1,6018,1,1.6,4.0,8,2280000000
165,1398,84000.0,1,9.1,19,35,1,748,3,1.8,4.0,11,485000000
